2.433433532714843750e+02,1.022380905151367188e+02,1.239474773406982422e+00
2.586827697753906250e+02,8.395873260498046875e+01,1.078040838241577148e+00
2.244640655517578125e+02,8.101044464111328125e+01,1.580673336982727051e+00
2.752021484375000000e+02,9.516221618652343750e+01,7.309766411781311035e-01
1.985050659179687500e+02,8.690701293945312500e+01,1.484526157379150391e+00
3.141406860351562500e+02,1.995314941406250000e+02,3.217900693416595459e-01
1.483569641113281250e+02,1.906866455078125000e+02,2.562763094902038574e-01
3.572090454101562500e+02,3.156939086914062500e+02,4.569906890392303467e-01
1.135482940673828125e+02,3.145146484375000000e+02,5.872027873992919922e-01
3.424595947265625000e+02,4.017838745117187500e+02,4.146047234535217285e-01
1.371473846435546875e+02,4.129873352050781250e+02,5.256159901618957520e-01
2.917215270996093750e+02,4.418805236816406250e+02,1.057196483016014099e-01
1.831656494140625000e+02,4.442391662597656250e+02,1.075729206204414368e-01
2.911315612792968750e+02,4.666461181640625000e+02,5.532884597778320312e-02
9.761889648437500000e+01,4.666461181640625000e+02,1.234262064099311829e-01
3.159106140136718750e+02,4.336253051757812500e+02,3.751963749527931213e-02
1.772658691406250000e+02,4.666461181640625000e+02,4.164642468094825745e-02
